,Year,M_Number_of_Households
0,1976,7311
1,1977,7537
2,1978,7763
3,1979,7988
4,1980,8214
5,1981,8440
6,1982,8604
7,1983,8768
8,1984,8933
9,1985,9097
10,1986,9261
11,1987,9464
12,1988,9666
13,1989,9869
14,1990,10071
15,1991,10274
16,1992,10441
17,1993,10609
18,1994,10776
19,1995,10944
20,1996,11111
21,1997,11274
22,1998,11438
23,1999,11601
24,2000,11765
25,2001,11928
26,2002,12099
27,2003,12270
28,2004,12441
29,2005,12612
30,2006,12783
31,2007,12956
32,2008,13128
33,2009,13301
34,2010,13473
35,2011,13646
36,2012,13847
37,2013,14048
38,2014,14250
39,2015,14451
40,2016,14652
41,2017,14855
42,2018,15058
43,2019,15260
44,2020,15463
45,2021,15666
46,2022,15871
47,2023,16077
48,2024,16282
49,2025,16488
50,2026,16693
51,2027,16901
52,2028,17108
53,2029,17316
54,2030,17523
55,2031,17731
56,2032,17943
57,2033,18155
58,2034,18367
59,2035,18579
60,2036,18791
